# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	49298
#@/user_id	stella
a 	啊	c=109 d=5.39376 t=49298
guang xue 	光學	c=0 d=0.0201897 t=49298
guang xue yi gou ti 	光學異構體	c=4 d=0.857088 t=49298
guang yi 	廣義	c=1 d=0.212248 t=49298
guang yuan 	光源	c=6 d=1.93784 t=49298
guang yuan 	廣元	c=1 d=0.0526021 t=49298
guang yun 	廣韻	c=3 d=1.86993 t=49298
guang zhao 	光照	c=0 d=3.13807e-14 t=49298
guang zhao lin chuan zhi bi 	光照臨川之筆	c=1 d=3.1538e-13 t=49298
guang zhou 	廣州	c=1 d=0.11475 t=49298
gui 	歸	c=2 d=0.0519442 t=49298
gui 	貴	c=1 d=0.242926 t=49298
gui 	鬼	c=1 d=0.25924 t=49298
gui bi 	規避	c=4 d=0.379083 t=49298
gui bin 	貴賓	c=1 d=0.0118551 t=49298
gui chao 	歸巢	c=3 d=0.0717207 t=49298
gui dao 	歸到	c=1 d=0.0165727 t=49298
gui dao 	軌道	c=1 d=0.01649 t=49298
gui dian lan gong 	桂殿蘭宮	c=1 d=2.75552e-13 t=49298
gui ding 	規定	c=2 d=0.738693 t=49298
gui er mou zhu fu 	歸而謀諸婦	c=1 d=1.55832e-13 t=49298
gui fan 	規範	c=4 d=0.342025 t=49298
gui fan di 	規範地	c=1 d=8.69654e-05 t=49298
gui fan hua 	規範化	c=1 d=2.1232e-05 t=49298
gui fan you xu 	規範有序	c=1 d=0.995012 t=49298
gui gen jie di 	歸根結底	c=1 d=0.00143012 t=49298
gui gong yu 	歸功於	c=1 d=0.164474 t=49298
gui hua 	規劃	c=14 d=0.303974 t=49298
gui hua le 	規劃了	c=2 d=1.18813 t=49298
gui ji 	櫃機	c=1 d=0.970446 t=49298
gui lai 	歸來	c=0 d=1.24756e-15 t=49298
gui lai qie bi guan 	歸來且閉關	c=1 d=1.25382e-14 t=49298
gui ling 	歸零	c=1 d=0.690734 t=49298
gui liu 	歸流	c=0 d=6.44804e-16 t=49298
gui liu dong bei wu 	歸流東北騖	c=1 d=6.48037e-15 t=49298
gui lv 	規律	c=10 d=0.98401 t=49298
gui lv xing 	規律性	c=1 d=0.0026852 t=49298
gui ming 	歸命	c=0 d=0.0965605 t=49298
gui mo 	規模	c=1 d=0.865022 t=49298
gui song shan zuo 	歸嵩山作	c=1 d=1.20466e-14 t=49298
gui yan ru hu tian 	歸雁入胡天	c=1 d=1.15165e-14 t=49298
gui yin 	歸因	c=0 d=7.56258e-13 t=49298
gui yin fen zhi 	歸因分值	c=1 d=4.14134e-12 t=49298
gui yin wei xian du 	歸因危險度	c=1 d=4.53388e-12 t=49298
gui yin wei xian du bai fen bi 	歸因危險度百分比	c=1 d=3.56449e-12 t=49298
gui yu 	歸於	c=0 d=1.41002e-14 t=49298
gui ze 	規則	c=8 d=1.30164 t=49298
gui ze ping deng 	規則平等	c=1 d=0.0972957 t=49298
gui zhao 	桂棹	c=0 d=8.59509e-15 t=49298
gui zhao xi lan jiang 	桂棹兮蘭槳	c=1 d=8.63817e-14 t=49298
gui zhong 	貴重	c=1 d=0.337902 t=49298
gui zi 	櫃子	c=3 d=1.15806 t=49298
gui zi 	瑰姿	c=0 d=0.00665368 t=49298
gui zi 	鬼子	c=1 d=0.33454 t=49298
gui zi yan yi 	瑰姿豔逸	c=1 d=0.0668703 t=49298
gun 	滾	c=1 d=0.0754139 t=49298
gun gun 	滾滾	c=0 d=1.52378e-15 t=49298
gun gun xiang qian 	滾滾向前	c=2 d=0.981847 t=49298
gun hui 	滾回	c=1 d=0.70822 t=49298
guo 	國	c=0 d=1.39961e-15 t=49298
guo 	過	c=16 d=1.14717 t=49298
guo 	郭	c=0 d=0.0786628 t=49298
guo ban 	國辦	c=1 d=0.0199405 t=49298
guo chan 	國產	c=1 d=0.0443785 t=49298
guo chang 	過長	c=1 d=0.000147011 t=49298
guo che 	過車	c=-1 d=1.52299e-08 t=49298
guo cheng 	過程	c=33 d=1.25937 t=49298
guo cheng wei hai fen xi 	過程危害分析	c=1 d=3.31493e-11 t=49298
guo cheng zhong 	過程中	c=14 d=1.41714 t=49298
guo dao 	過到	c=1 d=0.344728 t=49298
guo de 	過得	c=1 d=0.88692 t=49298
guo de gang 	郭德綱	c=1 d=0.33454 t=49298
guo di 	過低	c=1 d=0.000137073 t=49298
guo du 	過度	c=3 d=0.463013 t=49298
guo du 	過渡	c=0 d=0.0106459 t=49298
guo du tai 	過渡態	c=3 d=0.520897 t=49298
guo du zhen duan pian yi 	過度診斷偏倚	c=1 d=7.14221e-12 t=49298
guo duan 	果斷	c=1 d=0.900325 t=49298
guo duo 	過多	c=1 d=0.774916 t=49298
guo fang 	國防	c=1 d=0.960789 t=49298
guo fang he jun dui xian dai hua jian she 	國防和軍隊現代化建設	c=1 d=0.126818 t=49298
guo ge 	國歌	c=0 d=0.0109154 t=49298
guo ge 	郭歌	c=2 d=0.136014 t=49298
guo ge sheng 	國歌聲	c=1 d=0.45612 t=49298
guo guo 	果果	c=1 d=0.574072 t=49298
guo ji 	國際	c=6 d=0.663786 t=49298
guo ji 	過幾	c=0 d=0.0869358 t=49298
guo ji biao zhun 	國際標準	c=1 d=0.527292 t=49298
guo ji chang tu dian hua fei 	國際長途電話費	c=1 d=0.255381 t=49298
guo ji dan wei 	國際單位	c=1 d=0.873716 t=49298
guo ji dan wei zhi 	國際單位制	c=1 d=0.250324 t=49298
guo ji di wei 	國際地位	c=1 d=0.900325 t=49298
guo ji dian wei 	國際點位	c=-1 d=1.31403e-07 t=49298
guo ji duo bian gui ze 	國際多邊規則	c=1 d=0.13068 t=49298
guo ji fa zhan he zuo 	國際發展合作	c=1 d=0.346456 t=49298
guo ji fen zhong 	過幾分鐘	c=1 d=0.873716 t=49298
guo ji guan xi 	國際關係	c=1 d=0.57695 t=49298
guo ji he di qu wen ti 	國際和地區問題	c=1 d=0.00170362 t=49298
guo ji jin rong wei ji 	國際金融危機	c=2 d=0.422429 t=49298
guo ji jing ji he zuo 	國際經濟合作	c=1 d=0.0948935 t=49298
guo ji jing mao gui ze 	國際經貿規則	c=1 d=0.0930145 t=49298
guo ji jun shi jiao liu he zuo 	國際軍事交流合作	c=1 d=0.869358 t=49298
guo ji ke yan he zuo 	國際科研合作	c=1 d=0.826959 t=49298
guo ji she hui 	國際社會	c=2 d=0.392566 t=49298
guo ji shi chang 	國際市場	c=1 d=0.463013 t=49298
guo ji xing 	國際性	c=1 d=4.58562e-05 t=49298
guo ji xing shi 	國際形勢	c=1 d=0.241714 t=49298
guo ji zhi xu 	國際秩序	c=2 d=0.810584 t=49298
guo jia 	國家	c=22 d=2.68034 t=49298
guo jia 	郭嘉	c=4 d=0.963786 t=49298
guo jia bao zang 	國家寶藏	c=1 d=0.771052 t=49298
guo jia biao zhun 	國家標準	c=1 d=0.524663 t=49298
guo jia dui 	國家隊	c=1 d=4.05796e-08 t=49298
guo jia fa zhan 	國家發展	c=0 d=0.0444858 t=49298
guo jia fa zhan quan ju 	國家發展全局	c=1 d=0.447088 t=49298
guo jia gong yuan 	國家公園	c=0 d=0.0634448 t=49298
guo jia gong yuan ti zhi 	國家公園體制	c=1 d=0.637628 t=49298
guo jia he ying ji jiu yuan dui 	國家核應急救援隊	c=1 d=0.035437 t=49298
guo jia ji 	國家級	c=1 d=0.0451163 t=49298
guo jia ji gou 	國家機構	c=1 d=1.97966e-05 t=49298
guo jia ji shi fan qu 	國家級示範區	c=2 d=0.102311 t=49298
guo jia ji shu zhuan yi ti xi 	國家技術轉移體系	c=1 d=0.900325 t=49298
guo jia jian ji guo jia nei bu tong di qu 	國家間及國家內不同地區	c=1 d=1.36482e-12 t=49298
guo jia ke ji xiang mu 	國家科技項目	c=1 d=0.927743 t=49298
guo jia kuang shan ying ji jiu yuan dui 	國家礦山應急救援隊	c=1 d=0.0357931 t=49298
guo jia shi wu 	國家事務	c=1 d=2.02978e-05 t=49298
guo jia tu fa shi jian ti xi jian she 	國家突發事件體系建設	c=1 d=0.0223708 t=49298
guo jia tu fa shi jian ying ji ti xi jian she 	國家突發事件應急體系建設	c=1 d=0.0209629 t=49298
guo jia tu fa shi jian yu jing xin xi 	國家突發事件預警信息	c=1 d=7.06753e-06 t=49298
guo jia wei sheng ying ji dui wu 	國家衛生應急隊伍	c=1 d=0.0356146 t=49298
guo jia xian dai hua 	國家現代化	c=1 d=1.93078e-05 t=49298
guo jia ying ji ce hui bao zhang dui 	國家應急測繪保障隊	c=1 d=0.0359725 t=49298
guo jia ying ji guang bo zhong xin 	國家應急廣播中心	c=1 d=0.0320647 t=49298
guo jia ying ji ping tai ti xi 	國家應急平臺體系	c=1 d=0.0335406 t=49298
guo jia ying ji ti xi 	國家應急體系	c=1 d=0.0350844 t=49298
guo jia yu jing xin xi 	國家預警信息	c=3 d=1.50454e-05 t=49298
guo jia yu jing xin xi fa bu gong zuo 	國家預警信息發佈工作	c=1 d=5.03046e-06 t=49298
guo jia yu jing xin xi fa bu zhong xin 	國家預警信息發佈中心	c=1 d=0.0317456 t=49298
guo jia zhu quan 	國家主權	c=0 d=0.0621885 t=49298
guo jia zhu xi 	國家主席	c=1 d=0.377192 t=49298
guo jia zhu xue jin 	國家助學金	c=1 d=0.217621 t=49298
guo jian 	過鹼	c=1 d=0.139457 t=49298
guo jiao 	果膠	c=1 d=4.09945e-10 t=49298
guo jing 	郭靖	c=2 d=0.146784 t=49298
guo ke 	果殼	c=0 d=0.0125556 t=49298
guo ke ren yi men 	果殼任意門	c=1 d=0.126186 t=49298
guo lai 	過來	c=9 d=1.20639 t=49298
guo le 	過了	c=4 d=0.112478 t=49298
guo leng 	過冷	c=1 d=0.900325 t=49298
guo liang 	國樑	c=0 d=0.0071719 t=49298
guo lv 	過濾	c=2 d=0.0527292 t=49298
guo lv zuo yong 	過濾作用	c=2 d=0.0338909 t=49298
guo me 	過麼	c=1 d=0.357007 t=49298
guo min 	國民	c=1 d=0.0340475 t=49298
guo min 	過敏	c=2 d=0.965605 t=49298
guo min dang 	國民黨	c=0 d=0.0146607 t=49298
guo min dang fan dong pai 	國民黨反動派	c=1 d=0.147342 t=49298
guo min jing ji 	國民經濟	c=1 d=0.328302 t=49298
guo min jing ji he she hui fa zhan 	國民經濟和社會發展	c=1 d=0.0235177 t=49298
guo min xing 	過敏性	c=2 d=0.155792 t=49298
guo min xing ji bing 	過敏性疾病	c=1 d=0.000200439 t=49298
guo min xing xiao chuan 	過敏性哮喘	c=5 d=0.142987 t=49298
guo min yuan 	過敏原	c=1 d=0.0207543 t=49298
guo min zheng 	過敏症	c=0 d=2.09772e-11 t=49298
guo nei 	國內	c=3 d=0.999933 t=49298
guo nei wai 	國內外	c=0 d=0.0319819 t=49298
guo nei wai xing shi 	國內外形式	c=1 d=0.321422 t=49298
guo nian 	過年	c=6 d=2.22838 t=49298
guo po 	國破	c=0 d=1.43504e-15 t=49298
guo po shan he zai 	國破山河在	c=1 d=1.44223e-14 t=49298
guo qiang 	國強	c=0 d=0.0155673 t=49298
guo qiang 	過強	c=1 d=0.000144823 t=49298
guo qing 	國情	c=1 d=0.122456 t=49298
guo qu 	過去	c=16 d=0.776548 t=49298
guo qu le 	過去了	c=2 d=0.280832 t=49298
guo ran 	果然	c=3 d=0.32628 t=49298
guo sheng 	過剩	c=1 d=0.259488 t=49298
guo sheng chan neng 	過剩產能	c=1 d=0.410656 t=49298
guo shi 	過時	c=0 d=1.05726e-09 t=49298
guo shi er bu cai 	過時而不採	c=1 d=1.06256e-08 t=49298
guo shi fang wen 	國事訪問	c=2 d=0.00219059 t=49298
guo shui 	國稅	c=0 d=0.0212248 t=49298
guo shui di shui 	國稅地稅	c=1 d=0.213312 t=49298
guo suan 	果酸	c=1 d=0.137381 t=49298
guo suan 	過酸	c=1 d=0.138069 t=49298
guo tang 	果糖	c=1 d=4.03825e-10 t=49298
guo tu 	國土	c=0 d=0.0427415 t=49298
guo tu lv hua xing dong 	國土綠化行動	c=1 d=0.429557 t=49298
guo wai 	國外	c=1 d=0.212938 t=49298
guo wai xian jin 	國外先進	c=1 d=0.127454 t=49298
guo wu yuan 	國務院	c=13 d=0.482512 t=49298
guo wu yuan ban gong ting 	國務院辦公廳	c=1 d=0.0222592 t=49298
guo wu yuan zong li 	國務院總理	c=1 d=0.0380064 t=49298
guo xia 	果俠	c=-1 d=0.290835 t=49298
guo xie 	過些	c=0 d=2.96338e-09 t=49298
guo xie tian 	過些天	c=1 d=1.49284e-08 t=49298
guo xie tian 	過些田	c=-1 d=2.24517e-15 t=49298
guo yang 	過氧	c=0 d=0.00184997 t=49298
guo yang hua wu 	過氧化物	c=1 d=8.61462e-07 t=49298
guo yang hua wu mei 	過氧化物酶	c=1 d=7.8703e-07 t=49298
guo yang yi suan 	過氧乙酸	c=1 d=0.0185924 t=49298
guo ye 	過夜	c=2 d=0.445298 t=49298
guo yi 	過億	c=0 d=0.00867261 t=49298
guo yi duan 	過一段	c=1 d=0.597501 t=49298
guo yi yuan 	過億元	c=1 d=0.0871609 t=49298
guo yin 	國音	c=0 d=0.000585769 t=49298
guo you 	國有	c=1 d=0.704836 t=49298
guo you ke ji qi ye 	國有科技企業	c=1 d=0.0925506 t=49298
guo you qi ye 	國有企業	c=2 d=0.65377 t=49298
guo you shang ye yin hang 	國有商業銀行	c=1 d=0.0858632 t=49298
guo yu 	過於	c=2 d=0.388349 t=49298
guo yu luo ma zi 	國語羅馬字	c=1 d=0.904837 t=49298
guo zhen 	果真	c=1 d=0.591555 t=49298
ha 	哈	c=3 d=0.082085 t=49298
ha er bin 	哈爾濱	c=5 d=1.63076 t=49298
ha fo 	哈佛	c=1 d=0.0232837 t=49298
ha fu 	哈赴	c=-1 d=0.0231676 t=49298
ha gen da si 	哈根達斯	c=2 d=0.895834 t=49298
ha ha 	哈哈	c=1 d=0.900325 t=49298
hai 	海	c=0 d=5.4868e-15 t=49298
hai 	還	c=70 d=3.23131 t=49298
hai 	駭	c=0 d=0.00547488 t=49298
hai bei 	還被	c=1 d=0.0306538 t=49298
hai bu 	還不	c=5 d=0.565812 t=49298
hai bu cuo 	還不錯	c=3 d=1.11684 t=49298
hai bu gou duo 	還不夠多	c=1 d=0.218712 t=49298
hai bu shi 	還不是	c=1 d=0.140858 t=49298
hai bu yi ding 	還不一定	c=1 d=0.677057 t=49298
hai cun zai 	還存在	c=2 d=0.585669 t=49298
hai dai 	還帶	c=1 d=0.633095 t=49298
hai dai dong le 	還帶動了	c=1 d=0.425283 t=49298
hai dei 	還得	c=10 d=1.28049 t=49298
hai di 	海底	c=0 d=0.00510474 t=49298
hai di 	還低	c=1 d=0.588605 t=49298
hai di lao 	海底撈	c=2 d=0.935747 t=49298
hai er 	孩兒	c=3 d=0.829609 t=49298
hai gei 	還給	c=1 d=0.687289 t=49298
hai han you 	還含有	c=1 d=0.196912 t=49298
hai hui 	還會	c=2 d=0.557106 t=49298
hai ke 	海客	c=1 d=0.272532 t=49298
hai ke 	還可	c=2 d=0.273898 t=49298
hai ke neng 	還可能	c=1 d=0.463013 t=49298
hai ke tan ying zhou 	海客談瀛洲	c=1 d=1.85186e-14 t=49298
hai ke yi 	還可以	c=5 d=0.930422 t=49298
hai kou 	海口	c=1 d=0.00440507 t=49298
hai lai 	還來	c=0 d=4.42023e-15 t=49298
hai mei 	還沒	c=6 d=0.682189 t=49298
hai mei dei 	還沒得	c=1 d=0.603506 t=49298
hai mei you 	還沒有	c=3 d=0.416002 t=49298
hai nan 	海南	c=1 d=0.261846 t=49298
hai neng 	還能	c=5 d=0.696021 t=49298
hai neng you 	還能有	c=1 d=0.000428594 t=49298
hai pa 	還怕	c=1 d=0.283654 t=49298
hai qu 	海曲	c=0 d=3.60963e-14 t=49298
hai ri 	海日	c=0 d=2.0061e-15 t=49298
hai shang 	海上	c=2 d=0.0057417 t=49298
hai shang ming yue gong chao sheng 	海上明月共潮生	c=1 d=3.94004e-14 t=49298
hai shi 	亥時	c=1 d=0.00918669 t=49298
hai shi 	還是	c=97 d=5.29716 t=49298
hai shi shuo 	還是說	c=1 d=0.0742736 t=49298
hai shi xiang 	還是想	c=1 d=0.88692 t=49298
hai shi yao 	還是要	c=1 d=0.00143728 t=49298
hai shi you 	還是有	c=2 d=0.909373 t=49298
hai shuo 	還說	c=5 d=0.957068 t=49298
hai tang 	海棠	c=1 d=0.557106 t=49298
hai wai 	海外	c=2 d=0.903107 t=49298
hai wai ren cai 	海外人才	c=1 d=0.121846 t=49298
hai wai xiao fei 	海外消費	c=1 d=0.19593 t=49298
hai wang 	還望	c=0 d=7.19781e-16 t=49298
hai wang qing shan guo 	還望青山郭	c=1 d=7.23388e-15 t=49298
hai wu 	海霧	c=0 d=4.64686e-15 t=49298
hai xiang 	還向	c=1 d=0.0424257 t=49298
hai xiang 	還想	c=1 d=0.0426384 t=49298
hai xu yao 	還需要	c=3 d=0.9565 t=49298
hai yan 	海燕	c=2 d=0.390628 t=49298
hai yang 	海洋	c=2 d=0.392711 t=49298
hai yao 	還要	c=5 d=0.907423 t=49298
hai ying 	還應	c=1 d=5.47674e-06 t=49298
hai yong 	還用	c=1 d=1.77405e-09 t=49298
hai you 	還有	c=54 d=2.4492 t=49298
hai you huo er 	還有活兒	c=1 d=0.852144 t=49298
hai yu 	海宇	c=0 d=0.0767206 t=49298
hai zai 	還在	c=2 d=0.602093 t=49298
hai zao 	海藻	c=0 d=3.76539e-11 t=49298
hai zao tang 	海藻糖	c=1 d=3.78427e-10 t=49298
hai zhu 	駭矚	c=0 d=2.82527e-14 t=49298
hai zi 	孩子	c=1 d=0.227724 t=49298
han 	含	c=14 d=1.81246 t=49298
han 	喊	c=1 d=0.172713 t=49298
han 	寒	c=0 d=3.04564e-14 t=49298
han 	撼	c=0 d=1.70009e-09 t=49298
han 	涵	c=0 d=1.68317e-09 t=49298
han 	漢	c=2 d=0.904837 t=49298
han 	酣	c=0 d=6.11773e-15 t=49298
han bao 	漢堡	c=1 d=0.00109804 t=49298
han chao 	漢朝	c=1 d=0.97531 t=49298
han dan 	邯鄲	c=0 d=2.83259e-15 t=49298
han dan hua he wu 	含氮化合物	c=2 d=1.51882e-05 t=49298
han dan jian ji 	含氮鹼基	c=2 d=0.135228 t=49298
han dan liang 	含氮量	c=1 d=0.00118265 t=49298
han dan xian zhen jing 	邯鄲先震驚	c=1 d=2.84679e-14 t=49298
han gai 	涵蓋	c=1 d=0.22313 t=49298
han guo ren 	韓國人	c=1 d=0.179066 t=49298
han han 	韓涵	c=9 d=1.2627 t=49298
han jia 	寒假	c=2 d=0.763379 t=49298
han jiang 	漢江	c=0 d=1.25382e-15 t=49298
han jiang lin tiao 	漢江臨眺	c=1 d=1.2601e-14 t=49298
han jin liang 	含金量	c=1 d=0.831104 t=49298
han kou 	漢口	c=1 d=0.0581343 t=49298
han liang 	含量	c=8 d=0.904958 t=49298
han liu an ji suan 	含硫氨基酸	c=1 d=1.49259e-06 t=49298
han shan 	寒山	c=0 d=1.33802e-15 t=49298
han shan zhuan cang cui 	寒山轉蒼翠	c=1 d=1.34473e-14 t=49298
han shi 	漢室	c=1 d=0.187496 t=49298
han shi jiang shan jin shu cao 	漢室江山盡屬曹	c=1 d=0.946485 t=49298
han shu 	函數	c=20 d=1.728 t=49298
han shu ming 	函數名	c=1 d=0.00264522 t=49298
han shu tu xiang 	函數圖像	c=1 d=0.132655 t=49298
han si 	漢斯	c=0 d=0.0380983 t=49298
han sui 	韓遂	c=0 d=0.0818731 t=49298
han tang 	含糖	c=1 d=0.666977 t=49298
han wei 	捍衛	c=1 d=0.574072 t=49298
han wei zhe 	捍衛者	c=1 d=0.771052 t=49298
han xia bai deng dao 	漢下白登道	c=1 d=4.8851e-14 t=49298
han xu hun tai qing 	涵虛混太清	c=1 d=1.69161e-08 t=49298
han yi 	含意	c=0 d=8.07091e-10 t=49298
han yi ju wei shen 	含意俱未伸	c=1 d=8.11137e-09 t=49298
han yi ying 	漢譯英	c=1 d=2.54193e-05 t=49298
han ying 	含英	c=0 d=1.05199e-09 t=49298
han ying yang guang hui 	含英揚光輝	c=1 d=1.05726e-08 t=49298
han you 	含有	c=18 d=1.2886 t=49298
han yu 	漢語	c=4 d=1.59208 t=49298
han yu pin yin 	漢語拼音	c=11 d=1.32382 t=49298
han yun 	涵蘊	c=1 d=0.392586 t=49298
han zhe 	喊着	c=1 d=0.562705 t=49298
han zhong 	漢中	c=1 d=0.0528657 t=49298
han zhu ye cang cang 	寒渚夜蒼蒼	c=1 d=4.58952e-15 t=49298
han zi 	漢字	c=7 d=0.854668 t=49298
hang 	行	c=0 d=0.0351692 t=49298
hang ban 	航班	c=3 d=2.34808e-07 t=49298
hang die 	行跌	c=-1 d=1.20093e-07 t=49298
hang ju 	行距	c=1 d=0.97531 t=49298
hang lie 	行列	c=5 d=3.15967 t=49298
hang ming 	行名	c=1 d=0.628135 t=49298
hang tian yuan 	航天員	c=1 d=0.0333733 t=49298
hang xian 	航線	c=2 d=0.00527725 t=49298
hang ye 	行業	c=1 d=0.96899 t=49298
hang ye ti yu xie hui 	行業體育協會	c=1 d=0.442639 t=49298
hang zhou 	杭州	c=1 d=0.0925506 t=49298
hao 	好	c=46 d=3.52127 t=49298
hao 	皓	c=0 d=0.00639279 t=49298
hao 	號	c=8 d=1.22939 t=49298
hao ba 	好吧	c=1 d=0.615697 t=49298
hao bu 	毫不	c=0 d=0.0932394 t=49298
hao bu song xie 	毫不鬆懈	c=1 d=0.937067 t=49298
hao cai 	耗材	c=2 d=0.085979 t=49298
hao chang fu 	郝長付	c=1 d=1.31403e-07 t=49298
hao cheng 	號稱	c=1 d=0.0875977 t=49298
hao chi 	好吃	c=3 d=0.000363402 t=49298
hao chi 	皓齒	c=0 d=0.00655462 t=49298
hao chi nei xian 	皓齒內鮮	c=1 d=0.0658748 t=49298
hao chu 	好處	c=2 d=0.379087 t=49298
hao chu fei 	好處費	c=1 d=0.364219 t=49298
hao dai 	好歹	c=1 d=0.0523397 t=49298
hao dang 	浩蕩	c=0 d=2.13015e-15 t=49298
hao de 	好的	c=11 d=1.62037 t=49298
hao di 	好滴	c=1 d=0.995012 t=49298
hao dong xi 	好東西	c=2 d=0.00717724 t=49298
hao duo tian 	好多天	c=1 d=0.25924 t=49298
hao ge 	豪哥	c=14 d=1.46261 t=49298
hao hao 	好好	c=11 d=1.64466 t=49298
hao hao 	浩浩	c=1 d=0.985112 t=49298
hao hao chi 	好好吃	c=1 d=0.657047 t=49298
hao hao hu ru ping xu yu feng 	浩浩乎如憑虛御風	c=1 d=8.34107e-14 t=49298
hao hao xue 	好好學	c=1 d=0.00447164 t=49298
hao hao xue xi 	好好學習	c=4 d=0.19398 t=49298
hao he 	好喝	c=6 d=2.46686 t=49298
hao huai 	好壞	c=1 d=0.878095 t=49298
hao ji 	好幾	c=0 d=0.00930749 t=49298
hao ji bei 	好幾倍	c=1 d=0.0468877 t=49298
hao ji bei 	好幾北	c=-1 d=7.05167e-09 t=49298
hao ji ge 	好幾個	c=2 d=0.449329 t=49298
hao ji nian 	好幾年	c=1 d=0.40657 t=49298
hao kan 	好看	c=2 d=0.337902 t=49298
hao le 	好了	c=2 d=0.843665 t=49298
hao lou 	號樓	c=6 d=2.45542 t=49298
hao ma 	號碼	c=4 d=1.2874 t=49298
hao ma bu 	號碼布	c=1 d=1 t=49298
hao man 	好慢	c=1 d=0.301194 t=49298
hao ne 	好呢	c=0 d=0.00145524 t=49298
hao nei rong 	好內容	c=1 d=0.904837 t=49298
hao ping 	好評	c=2 d=0.120032 t=49298
hao sheng 	毫升	c=1 d=0.364219 t=49298
hao shi 	好事	c=1 d=1.06531e-09 t=49298
hao shuo 	好說	c=1 d=0.150318 t=49298
hao xian 	號線	c=1 d=0.0699482 t=49298
hao xiang 	好像	c=34 d=1.91202 t=49298
hao xiang shi 	好像是	c=1 d=0.379083 t=49298
hao xiang shi 	好象是	c=1 d=1.45222e-07 t=49298
hao xiao 	好笑	c=1 d=0.092089 t=49298
hao xin ren 	好心人	c=1 d=0.000459671 t=49298
hao xue 	好學	c=1 d=1.06238e-06 t=49298
hao yang 	耗氧	c=0 d=1.27563e-12 t=49298
hao yang liang 	耗氧量	c=1 d=2.94872e-11 t=49298
hao yi si 	好意思	c=1 d=0.0342181 t=49298
hao yong 	好用	c=3 d=0.0948964 t=49298
hao you 	好友	c=1 d=0.985112 t=49298
hao yu 	好於	c=1 d=0.367879 t=49298
hao yu zhi shi jie 	好雨知時節	c=1 d=0.402524 t=49298
hao zhi cheng lu 	皓質呈露	c=1 d=0.0642483 t=49298
hao zhuan 	好轉	c=0 d=0.0579545 t=49298
he 	何	c=0 d=0.179255 t=49298
he 	合	c=1 d=0.93847 t=49298
he 	和	c=457 d=7.81551 t=49298
he 	喝	c=2 d=0.869358 t=49298
he 	核	c=0 d=0.107209 t=49298
he 	盒	c=0 d=0.00205478 t=49298
he 	餄	c=1 d=0.0833256 t=49298
he bei mo po lie 	核被膜破裂	c=1 d=0.67368 t=49298
he bing 	合併	c=3 d=0.944895 t=49298
he bu 	何不	c=0 d=8.19289e-10 t=49298
he bu ce gao zu 	何不策高足	c=1 d=8.23395e-09 t=49298
he bu jun yi 	核不均一	c=1 d=0.631284 t=49298
he cai tou 	和菜頭	c=1 d=0.694197 t=49298
he cha 	喝茶	c=1 d=0.0889216 t=49298
he chang 	何嘗	c=1 d=0.0186999 t=49298
he chang 	鶴氅	c=0 d=2.11405e-14 t=49298
he chang bu shi ru ci 	何嘗不是如此	c=1 d=0.017163 t=49298
he chang qiu 	鶴氅裘	c=1 d=2.12465e-13 t=49298
he cheng 	合成	c=36 d=2.47995 t=49298
he cheng dai xie 	合成代謝	c=1 d=9.42245e-07 t=49298
he cheng mei lei 	合成酶類	c=1 d=0.467666 t=49298
he chu 	何處	c=0 d=1.25605e-14 t=49298
he chu chun jiang wu yue ming 	何處春江無月明	c=1 d=3.97964e-14 t=49298
he chu xiang si ming yue 	何處相似明月	c=1 d=4.31109e-14 t=49298
he chu xiang si ming yue lou 	何處相思明月樓	c=1 d=4.33271e-14 t=49298
he dan bai 	核蛋白	c=0 d=0.115494 t=49298
he dan bai ti 	核蛋白體	c=2 d=1.08416 t=49298
he dao 	河道	c=0 d=0.0491644 t=49298
he dao zheng zhi gong zuo 	河道整治工作	c=1 d=0.494109 t=49298
he de 	喝的	c=1 d=0.0057994 t=49298
he deng 	何等	c=1 d=0.878095 t=49298
he du 	合度	c=0 d=0.0062662 t=49298
he fan 	盒飯	c=1 d=5.18084e-29 t=49298
he fei 	合肥	c=3 d=0.382432 t=49298
he gan 	核苷	c=10 d=0.596329 t=49298
he gan er lin suan 	核苷二磷酸	c=1 d=0.113608 t=49298
he gan san lin suan 	核苷三磷酸	c=1 d=0.115325 t=49298
he gan suan 	核苷酸	c=25 d=2.84973 t=49298
he gan suan dai xie 	核苷酸代謝	c=1 d=3.62588e-07 t=49298
he gan suan lian 	核苷酸鏈	c=2 d=0.736096 t=49298
he guo 	喝過	c=1 d=0.559898 t=49298
he guo jia 	核國家	c=1 d=1 t=49298
he han 	河漢	c=0 d=0.0339596 t=49298
he han nv 	河漢女	c=0 d=0.0331211 t=49298
he han qing qie qian 	河漢清且淺	c=1 d=0.341298 t=49298
he hua 	荷花	c=1 d=0.109154 t=49298
he huang su 	核黃素	c=1 d=4.57611e-10 t=49298
he huo 	合夥	c=1 d=5.50513e-08 t=49298
he huo ren 	合夥人	c=1 d=0.240508 t=49298
he jian 	河間	c=2 d=0.980835 t=49298
he jin 	何進	c=0 d=0.0774916 t=49298
he jin wu mou zhong gui luan 	何進無謀中貴亂	c=1 d=0.778801 t=49298
he jiu 	喝酒	c=3 d=1.02705 t=49298
