# Rime user dictionary
#@/db_name	zhung.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	12045
#@/user_id	stella
a1 	啊	c=65 d=4.31181 t=12045
fen1 bu4 	分佈	c=5 d=1.62364 t=12045
fen1 fen1 shy4 shy4 wu2 qung2 zin4 	紛紛世事無窮盡	c=1 d=0.97531 t=12045
fen1 gai3 	分改	c=1 d=0.810584 t=12045
fen1 ge1 	分隔	c=1 d=0.737123 t=12045
fen1 hua4 	分化	c=12 d=3.1537 t=12045
fen1 hua4 cheng1 	分化稱	c=-1 d=0 t=12045
fen1 hua4 cheng2 	分化成	c=1 d=0.509156 t=12045
fen1 hua4 cheng2 shu2 	分化成熟	c=2 d=0.875131 t=12045
fen1 hua4 fa1 yu1 	分化發育	c=2 d=1.53272 t=12045
fen1 hua4 qun2 	分化羣	c=1 d=0.606531 t=12045
fen1 hua4 wui2 	分化爲	c=2 d=0.985112 t=12045
fen1 kai1 	分開	c=1 d=0.814647 t=12045
fen1 lui4 	分類	c=1 d=0.453845 t=12045
fen1 mi1 	分泌	c=12 d=1.50341 t=12045
fen1 mi1 cheng2 fen1 	分泌成分	c=1 d=0.307279 t=12045
fen1 mi1 pian4 	分泌片	c=2 d=0.606924 t=12045
fen1 mi1 xing2 	分泌型	c=6 d=2.86496 t=12045
fen1 mi1 yi2 	分泌液	c=1 d=0.767792 t=12045
fen1 shu3 gau1 	分數高	c=1 d=0.155673 t=12045
fen1 si1 	分析	c=1 d=0.120323 t=12045
fen1 wui2 	分爲	c=8 d=2.55301 t=12045
fen1 zhy1 	分支	c=1 d=0.110251 t=12045
fen1 zu3 	分組	c=1 d=0.416862 t=12045
fen1 zy3 	分子	c=48 d=5.01111 t=12045
fen1 zy3 biau3 da1 	分子表達	c=1 d=0.557106 t=12045
fen1 zy3 je1 gou4 	分子結構	c=2 d=0.84361 t=12045
fen1 zy3 ji1 chu3 	分子基礎	c=1 d=0.83527 t=12045
fen1 zy3 liang2 	分子量	c=4 d=1.78747 t=12045
fen1 zy3 sheng1 wu1 	分子生物	c=6 d=4.00309 t=12045
fen4 cing1 	分清	c=1 d=0.00470091 t=12045
feng1 	楓	c=0 d=0.00611149 t=12045
feng1 du4 	峯度	c=4 d=0.225874 t=12045
feng1 fu4 	豐富	c=2 d=0.895834 t=12045
feng1 ge1 	風格	c=1 d=0.927743 t=12045
feng1 zha1 	封扎	c=1 d=0.625002 t=12045
fi1 	非	c=5 d=0.676677 t=12045
fi1 chang2 	非常	c=1 d=0.449329 t=12045
fi1 ciuan2 rhy1 zhy4 	非全日制	c=3 d=0.784359 t=12045
fi1 de1 	非得	c=2 d=0.058761 t=12045
fi1 hua1 	飛花	c=1 d=0.755784 t=12045
fi1 jing1 dian3 	非經典	c=2 d=1.3184 t=12045
fi1 xing2 wu1 	飛行物	c=1 d=0.127454 t=12045
fi1 zhou1 muo1 	非週末	c=1 d=0.367879 t=12045
fi1 zhuan1 zhy1 sing4 	非專職性	c=1 d=0.594521 t=12045
fi2 da4 	肥大	c=0 d=0.00500366 t=12045
fi2 da4 si4 bau1 	肥大細胞	c=1 d=0.0502874 t=12045
fi4 	廢	c=2 d=0.224477 t=12045
fi4 	肺	c=0 d=0.0718924 t=12045
fi4 jin4 	費勁	c=1 d=1 t=12045
fi4 shy4 	費事	c=4 d=0.835201 t=12045
fi4 zhy3 	廢止	c=3 d=0.710244 t=12045
fi4 zu3 zhy1 	肺組織	c=1 d=0.722527 t=12045
fu1 ci1 	夫妻	c=1 d=0.0173355 t=12045
fu1 he2 	複覈	c=0 d=0.0136014 t=12045
fu1 heo2 ti3 	複合體	c=0 d=0.192275 t=12045
fu1 heo2 wu1 	複合物	c=9 d=1.81066 t=12045
fu1 li4 	福利	c=1 d=0.650509 t=12045
fu1 muo2 	腹膜	c=0 d=0.0398519 t=12045
fu1 muo2 qang1 	腹膜腔	c=1 d=0.400517 t=12045
fu1 rhen2 	夫人	c=1 d=0.0176857 t=12045
fu1 sie3 	腹瀉	c=1 d=1 t=12045
fu1 yuo1 	服藥	c=1 d=0.29671 t=12045
fu1 za2 	複雜	c=3 d=0.305606 t=12045
fu1 za2 je1 gou4 	複雜結構	c=1 d=0.0361528 t=12045
fu1 zhy4 	複製	c=43 d=8.21506 t=12045
fu1 zhy4 cha1 	複製叉	c=5 d=0.35502 t=12045
fu1 zhy4 dan1 wui4 	複製單位	c=1 d=0.400517 t=12045
fu1 zhy4 fang1 xang4 	複製方向	c=1 d=0.0471227 t=12045
fu1 zhy4 qi3 shy3 dian3 	複製起始點	c=2 d=0.463284 t=12045
fu1 zhy4 xing2 shy1 	複製形式	c=1 d=0.0765355 t=12045
fu1 zhy4 zy3 	複製子	c=3 d=1.24302 t=12045
fu2 hau4 	符號	c=3 d=0.351285 t=12045
fu2 heo2 	符合	c=3 d=0.0916297 t=12045
fu2 zhen4 	佛振	c=6 d=1.55002 t=12045
fu3 an1 suan1 	脯氨酸	c=1 d=0.904837 t=12045
fu3 mei2 	輔酶	c=3 d=0.97531 t=12045
fu3 mei2 xing2 shy1 	輔酶形式	c=1 d=0.0293049 t=12045
fu3 zhu4 	輔助	c=7 d=1.45795 t=12045
fu3 zhu4 cheng2 fen1 	輔助成分	c=1 d=0.316637 t=12045
fu3 zhu4 shou4 ti3 	輔助受體	c=4 d=2.24549 t=12045
fu3 zhu4 sing4 	輔助性	c=1 d=0.183599 t=12045
fu3 zhu4 yin1 zy3 	輔助因子	c=1 d=0.044601 t=12045
fu4 	負	c=0 d=0.0414783 t=12045
fu4 	賦	c=1 d=0.240508 t=12045
fu4 dan1 	負擔	c=1 d=0.00159641 t=12045
fu4 han2 	富含	c=2 d=0.244143 t=12045
fu4 jin4 	附近	c=3 d=0.311599 t=12045
fu4 jin4 chu3 	附近處	c=1 d=0.311923 t=12045
fu4 lian2 	負鏈	c=1 d=0.644036 t=12045
fu4 mu3 	父母	c=2 d=0.259674 t=12045
fu4 shuo1 	負數	c=1 d=0.123687 t=12045
fu4 sung4 	附送	c=1 d=0.647265 t=12045
fu4 tiau2 zie1 zuo1 yung4 	負調節作用	c=1 d=0.416862 t=12045
fu4 zhe1 	負責	c=1 d=0.778801 t=12045
fu4 zi2 	富集	c=1 d=0.276651 t=12045
gai1 	該	c=2 d=0.0349094 t=12045
gai1 qu1 	該區	c=2 d=0.29872 t=12045
gai3 	改	c=4 d=1.34179 t=12045
gai3 bian4 	改變	c=4 d=0.932394 t=12045
gai3 cheng2 	改成	c=2 d=0.549826 t=12045
gai3 dung4 	改動	c=1 d=0.341298 t=12045
gai3 gai3 	改改	c=1 d=0.366045 t=12045
gai3 ge1 	改革	c=1 d=0.755784 t=12045
gai3 shan4 	改善	c=1 d=0.83527 t=12045
gai3 wui2 	改爲	c=0 d=0.0360595 t=12045
gai3 wui2 leo1 	改爲了	c=1 d=0.362402 t=12045
gai4 nian4 	概念	c=3 d=1.01745 t=12045
gan1 lu4 sy4 	甘露寺	c=1 d=0.000160856 t=12045
gan1 rhau3 	干擾	c=1 d=0.256661 t=12045
gan1 rhau3 su4 	干擾素	c=6 d=1.70146 t=12045
gan3 	敢	c=1 d=0.369723 t=12045
gan3 cing2 	感情	c=1 d=0.126818 t=12045
gan3 jin3 	趕緊	c=1 d=0.548812 t=12045
gan3 juo1 	感覺	c=6 d=2.11742 t=12045
gan3 rhan3 	感染	c=3 d=0.640155 t=12045
gan3 rhan3 sing4 	感染性	c=0 d=0.0147342 t=12045
gan3 rhan3 sing4 zi2 bing4 	感染性疾病	c=1 d=0.14808 t=12045
gan3 shang4 	趕上	c=1 d=0.0753961 t=12045
gan4 	幹	c=1 d=0.293758 t=12045
gan4 huo2 el2 	幹活兒	c=1 d=0.105928 t=12045
gan4 sha4 	幹啥	c=1 d=0.13332 t=12045
gan4 si4 bau1 	幹細胞	c=0 d=0.0740818 t=12045
gang1 	剛	c=7 d=1.19505 t=12045
gang1 	岡	c=0 d=0.00426384 t=12045
gang1 kan1 jan4 	剛看見	c=1 d=0.00029902 t=12045
gang1 qi2 pian4 duan4 	岡崎片段	c=3 d=0.158542 t=12045
gang1 siang3 qi3 	剛想起	c=1 d=0.257947 t=12045
gang1 wang4 liau3 	剛忘了	c=1 d=0.0804596 t=12045
gau1 	高	c=7 d=1.29153 t=12045
gau1 bian4 qu1 	高變區	c=1 d=0.718924 t=12045
gau1 cin1 huo2 li1 	高親和力	c=1 d=0.519442 t=12045
gau1 cin1 huo2 li1 shou4 ti3 	高親和力受體	c=1 d=0.203926 t=12045
gau1 da4 shang4 	高大上	c=2 d=0.0082574 t=12045
gau1 deng3 	高等	c=1 d=0.470011 t=12045
gau1 deng3 shuo1 xuo2 	高等數學	c=1 d=0.66365 t=12045
gau1 di1 	高低	c=1 d=0.32628 t=12045
gau1 du4 	高度	c=2 d=0.438203 t=12045
gau1 du4 keo3 bian4 	高度可變	c=1 d=0.71177 t=12045
gau1 du4 le1 	高度的	c=1 d=0.138069 t=12045
gau1 feng1 	高峯	c=1 d=0.418952 t=12045
gau1 gu3 	高估	c=1 d=0.00408677 t=12045
gau1 nian2 ji1 	高年級	c=1 d=0.00367942 t=12045
gau1 pin2 	高頻	c=1 d=0.651737 t=12045
gau1 yu1 	高於	c=1 d=0.203926 t=12045
gau1 zu3 ti2 jan4 rhu1 xan2 yang2 	高祖提劍入咸陽	c=1 d=0.767206 t=12045
gau3 	搞	c=1 d=0.249075 t=12045
gau4 su4 	告訴	c=1 d=0.136014 t=12045
gau4 yi1 duan4 luo1 	告一段落	c=1 d=0.600496 t=12045
ge1 kai1 	隔開	c=1 d=0.690734 t=12045
ge1 shy1 	格式	c=1 d=0.410656 t=12045
ge1 zhuo2 	隔着	c=1 d=0.146607 t=12045
gen1 	跟	c=42 d=4.13777 t=12045
gen1 da3 	跟打	c=3 d=0.0104142 t=12045
gen1 ju4 	根據	c=8 d=1.17581 t=12045
gen1 ni3 	跟你	c=3 d=0.117938 t=12045
gen1 ni3 liuan2 xi4 	跟你聯繫	c=1 d=0.00449405 t=12045
gen1 ta3 	跟他	c=1 d=0.980199 t=12045
gen1 zhuo2 	跟着	c=0 d=0.0496585 t=12045
gen1 zhuo2 ni3 	跟着你	c=1 d=0.499074 t=12045
geng1 	更	c=5 d=0.466801 t=12045
geng1 da4 	更大	c=1 d=0.960789 t=12045
geng1 duo1 	更多	c=3 d=0.818731 t=12045
geng1 gai3 	更改	c=1 d=0.0254348 t=12045
geng1 gai3 leo1 	更改了	c=1 d=0.0372538 t=12045
geng1 hau3 	更好	c=1 d=0.810584 t=12045
geng1 kuai4 	更快	c=1 d=0.729789 t=12045
geng1 shen1 ceng2 	更深層	c=1 d=0.612626 t=12045
geng1 sin1 	更新	c=3 d=0.769808 t=12045
geng1 wan3 	更晚	c=1 d=0.0672055 t=12045
geng1 yi1 shy2 	更衣室	c=1 d=0.000308127 t=12045
geng1 zie1 jin4 	更接近	c=2 d=1.46455 t=12045
geo1 	各	c=2 d=0.786628 t=12045
geo1 bu1 zhu4 	擱不住	c=1 d=0.00343067 t=12045
geo1 cheng3 xung2 cai2 zhan4 yi1 fang1 	各逞雄才佔一方	c=1 d=0.843665 t=12045
geo1 dau4 	擱到	c=5 d=0.634962 t=12045
geo1 geo4 	各個	c=3 d=1.47437 t=12045
geo1 lui4 	各類	c=1 d=0.786628 t=12045
geo1 puo1 	胳膊	c=1 d=0.132655 t=12045
geo1 qu1 	歌曲	c=3 d=0.0104783 t=12045
geo1 you3 	各有	c=1 d=0.683861 t=12045
geo1 zhung3 	各種	c=5 d=1.09352 t=12045
geo1 zhung3 gung1 neng2 	各種功能	c=1 d=1 t=12045
geo1 zy4 	各自	c=2 d=0.0396033 t=12045
geo3 geo3 	哥哥	c=1 d=0.985112 t=12045
geo4 	個	c=11 d=0.748264 t=12045
geo4 an4 	個案	c=1 d=0.535261 t=12045
geo4 rhen2 	個人	c=1 d=0.00134011 t=12045
geo4 rhen2 rhen4 wui2 	個人認爲	c=1 d=0.0014018 t=12045
geo4 ti3 	個體	c=3 d=0.606304 t=12045
geo4 ti3 cha1 yi4 	個體差異	c=1 d=0.740818 t=12045
geo4 yue1 	個月	c=2 d=0.0900995 t=12045
gou1 	勾	c=1 d=0.442639 t=12045
gou1 yin3 	勾引	c=1 d=0.232236 t=12045
gou4 	夠	c=4 d=0.751741 t=12045
gou4 cheng2 	構成	c=4 d=1.46828 t=12045
gou4 cheng2 le1 	構成的	c=-1 d=0 t=12045
gou4 cheng2 leo1 	構成了	c=1 d=0.421052 t=12045
gou4 cing1 chu3 	夠清楚	c=1 d=0.0143357 t=12045
gou4 jan4 	構建	c=1 d=0.744532 t=12045
gu1 duan1 	轂端	c=-1 d=0 t=12045
gu1 ja4 	骨架	c=0 d=0.0856415 t=12045
gu1 ja4 qu1 	骨架區	c=1 d=0.860708 t=12045
gu1 sui3 	骨髓	c=3 d=1.52239 t=12045
gu3 an4 su4 	鈷胺素	c=1 d=0.0387742 t=12045
gu3 ji4 	估計	c=10 d=1.41157 t=12045
gu3 shy1 cy2 	古詩詞	c=1 d=0.748264 t=12045
gu4 	故	c=2 d=0.352009 t=12045
gu4 cheng1 	故稱	c=1 d=0.847894 t=12045
gu4 ding4 	固定	c=2 d=0.394768 t=12045
gu4 ding4 le1 	固定的	c=1 d=0.0502874 t=12045
gu4 shy4 	故事	c=1 d=0.0692522 t=12045
gu4 you3 	固有	c=1 d=0.389545 t=12045
gu4 you3 cheng2 fen1 	固有成分	c=1 d=0.0706512 t=12045
gu4 you3 mian3 yi1 	固有免疫	c=3 d=0.398841 t=12045
gu4 you3 mian3 yi1 ying1 da1 	固有免疫應答	c=1 d=0.416862 t=12045
gua3 he2 gan1 suan1 	寡核苷酸	c=1 d=0.0620385 t=12045
gua4 	掛	c=3 d=0.123536 t=12045
guai3 dai4 	拐帶	c=1 d=0.644036 t=12045
guai3 dian3 	拐點	c=3 d=0.000697008 t=12045
guai3 hui2 qu4 	拐回去	c=1 d=0.496585 t=12045
guai3 zy3 ma3 	拐子馬	c=1 d=0.00663763 t=12045
guai4 	怪	c=1 d=0.125556 t=12045
guan1 cha2 	觀察	c=2 d=0.377192 t=12045
guan1 cha2 dau4 	觀察到	c=1 d=0.733447 t=12045
guan1 hua4 	官話	c=1 d=0.937067 t=12045
guan1 jan4 	關鍵	c=2 d=0.463013 t=12045
guan1 jan4 shy4 	關鍵是	c=1 d=0.00904991 t=12045
guan1 jan4 zy4 	關鍵字	c=2 d=0.916858 t=12045
guan1 kan1 	觀看	c=1 d=0.00822975 t=12045
guan1 men2 	關門	c=1 d=0.774916 t=12045
guan1 xi4 	關係	c=4 d=1.46767 t=12045
guan1 zhu3 	關注	c=1 d=0.117655 t=12045
guan1 zhu4 	關住	c=1 d=0.118245 t=12045
guan3 	管	c=3 d=0.670555 t=12045
guan3 li3 	管理	c=2 d=0.247083 t=12045
guan3 li3 gung1 cheng2 	管理工程	c=1 d=0.191092 t=12045
guan3 li3 gung1 cheng2 xuo2 yuan4 	管理工程學院	c=2 d=1.60174 t=12045
guan3 li3 tiau2 li4 	管理條例	c=1 d=0.802519 t=12045
guan3 li3 xuo2 	管理學	c=1 d=0.32628 t=12045
guan4 zhu3 	灌注	c=0 d=8.10998e-08 t=12045
guang1 	光	c=5 d=0.862653 t=12045
guang1 kan1 	光看	c=1 d=0.970446 t=12045
guang1 siang3 	光想	c=2 d=0.110265 t=12045
guang1 wu3 liung2 xing1 cheng2 da4 tung3 	光武龍興成大統	c=1 d=0.774916 t=12045
guang3 de1 	廣德	c=1 d=0.865022 t=12045
guang3 dung1 	廣東	c=2 d=0.924356 t=12045
guang3 fan4 	廣泛	c=0 d=0.00587185 t=12045
guang3 fan4 cun2 zai4 	廣泛存在	c=1 d=0.0590129 t=12045
guang3 fan4 cun2 zai4 yu1 	廣泛存在於	c=1 d=0.082085 t=12045
guang3 gau4 	廣告	c=3 d=0.98965 t=12045
guang3 yun4 	廣韻	c=1 d=0.951229 t=12045
gue1 	國	c=1 d=0.0340475 t=12045
gue1 ja1 	國家	c=1 d=0.519442 t=12045
gue1 ja1 dui4 	國家隊	c=1 d=0.106992 t=12045
gue1 zi4 	國際	c=1 d=0.414783 t=12045
gui1 	歸	c=0 d=0.0209088 t=12045
gui1 chau2 	歸巢	c=0 d=0.0767206 t=12045
gui1 hua1 	規劃	c=1 d=0.12493 t=12045
gui1 liu1 	規律	c=2 d=0.244141 t=12045
gui1 ni3 guan3 	歸你管	c=1 d=0.210136 t=12045
gui1 wui2 	歸爲	c=1 d=0.600496 t=12045
gui1 ze1 	規則	c=2 d=0.303041 t=12045
gui4 	貴	c=1 d=0.177284 t=12045
gung1 	攻	c=0 d=0.010435 t=12045
gung1 bau3 pin1 yin1 	宮保拼音	c=19 d=3.2423 t=12045
gung1 chang3 	工廠	c=1 d=0.331211 t=12045
gung1 cheng2 	工程	c=0 d=0.0190139 t=12045
gung1 gung4 	公共	c=0 d=0.0810584 t=12045
gung1 gung4 wui4 sheng1 	公共衛生	c=1 d=0.109154 t=12045
gung1 gung4 wui4 sheng1 xue1 yuan2 	公共衛生血緣	c=-1 d=0 t=12045
gung1 gung4 wui4 sheng1 xuo2 yuan4 	公共衛生學院	c=2 d=1.5811 t=12045
gung1 gung4 zy1 yuan2 	公共資源	c=1 d=0.814647 t=12045
gung1 ji1 	攻擊	c=1 d=0.496585 t=12045
gung1 kai1 kuo4 	公開課	c=2 d=1.6529 t=12045
gung1 li3 	公里	c=2 d=1.49188 t=12045
gung1 muo2 fu1 heo2 wu1 	攻膜複合物	c=2 d=0.221357 t=12045
gung1 neng2 	功能	c=26 d=4.57339 t=12045
gung1 neng2 sing4 	功能性	c=1 d=0.634448 t=12045
gung1 neng2 te2 dian3 	功能特點	c=1 d=0.774916 t=12045
gung1 shy1 	公式	c=7 d=1.27881 t=12045
gung1 sy1 	公司	c=2 d=0.431564 t=12045
gung1 wui4 	公衛	c=1 d=0.244143 t=12045
gung1 zhung1 hau4 	公衆號	c=3 d=1.00861 t=12045
gung1 zuo1 	工作	c=1 d=0.215456 t=12045
gung1 zy1 	工資	c=1 d=0.190139 t=12045
gung3 gu4 	鞏固	c=1 d=0.748264 t=12045
gung4 	共	c=0 d=0.130499 t=12045
gung4 cy4 ji1 	共刺激	c=1 d=0.680451 t=12045
gung4 cy4 ji1 fen1 zy3 	共刺激分子	c=1 d=0.546074 t=12045
gung4 ja4 	共價	c=0 d=0.0154124 t=12045
gung4 ja4 lian2 zie1 	共價連接	c=1 d=0.154896 t=12045
gung4 meng4 	共夢	c=-1 d=0 t=12045
gung4 shou4 ti3 	共受體	c=2 d=0.617646 t=12045
gung4 tung2 	共同	c=3 d=0.684434 t=12045
gung4 tung2 siu4 lie1 	共同序列	c=2 d=0.311897 t=12045
gung4 tung2 tiau2 zie1 	共同調節	c=1 d=0.250324 t=12045
gung4 tung2 zu3 cheng2 	共同組成	c=1 d=0.752014 t=12045
gung4 tung2 zu3 fen1 	共同組分	c=1 d=0.0824965 t=12045
gung4 xan3 sing4 	共顯性	c=2 d=1.65165 t=12045
gung4 you3 	共有	c=2 d=0.622736 t=12045
gung4 you3 siu4 lie1 	共有序列	c=1 d=0.26982 t=12045
gung4 yung4 	共用	c=1 d=0.216536 t=12045
guo1 	過	c=3 d=0.256032 t=12045
guo1 	郭	c=0 d=0.0117655 t=12045
guo1 ai4 lun2 	郭艾倫	c=1 d=0.118245 t=12045
guo1 cang2 	過藏	c=-1 d=0 t=12045
guo1 cheng2 	過程	c=12 d=2.28675 t=12045
guo1 cheng2 zhung1 	過程中	c=8 d=3.34421 t=12045
guo1 lai2 	過來	c=5 d=0.882497 t=12045
guo1 liang3 tian1 	過兩天	c=1 d=0.759572 t=12045
guo1 min3 	過敏	c=0 d=0.0137381 t=12045
guo1 min3 du2 su4 	過敏毒素	c=1 d=0.138069 t=12045
guo1 qu4 	過去	c=4 d=1.00997 t=12045
guo1 yung4 	過用	c=-1 d=0 t=12045
guo3 ying2 	果蠅	c=1 d=0.748264 t=12045
ha1 deng1 	哈登	c=1 d=0.114178 t=12045
ha1 el3 bin1 	哈爾濱	c=1 d=0.904837 t=12045
ha1 fu2 	哈佛	c=1 d=0.156453 t=12045
hai2 	還	c=10 d=2.43429 t=12045
hai2 bu1 	還不	c=2 d=0.996853 t=12045
hai2 bu1 zhy1 dau4 	還不知道	c=1 d=0.199888 t=12045
hai2 chy1 	還吃	c=1 d=1.87404e-07 t=12045
hai2 de1 	還得	c=5 d=0.975796 t=12045
hai2 el2 	孩兒	c=2 d=0.264605 t=12045
hai2 gen1 	還跟	c=1 d=0.245367 t=12045
hai2 han2 you3 	還含有	c=1 d=0.327915 t=12045
hai2 ju4 you3 	還具有	c=1 d=0.782705 t=12045
hai2 keo3 yi3 	還可以	c=1 d=0.226502 t=12045
hai2 mu2 	還沒	c=2 d=0.0513111 t=12045
hai2 mu2 you3 	還沒有	c=1 d=0.744532 t=12045
hai2 neng2 	還能	c=4 d=1.00473 t=12045
hai2 shy4 	還是	c=19 d=1.79186 t=12045
hai2 siu1 yau1 	還需要	c=1 d=0.198891 t=12045
hai2 wun4 	還問	c=1 d=0.0145524 t=12045
hai2 you3 	還有	c=22 d=2.67741 t=12045
hai2 you3 sha4 	還有啥	c=1 d=0.246597 t=12045
han2 	含	c=3 d=0.66365 t=12045
han2 dan4 	含氮	c=1 d=0.970446 t=12045
han2 han2 	韓涵	c=1 d=0.970446 t=12045
han2 liang2 	含量	c=1 d=0.891366 t=12045
han2 liou2 	含硫	c=1 d=0.995012 t=12045
han2 shan1 	寒山	c=1 d=0.00241755 t=12045
han2 shu3 	函數	c=5 d=0.983338 t=12045
han2 tang2 	含糖	c=1 d=0.321422 t=12045
han2 you3 	含有	c=5 d=1.45407 t=12045
han4 chau2 	漢朝	c=1 d=0.210136 t=12045
han4 fu4 	漢賦	c=1 d=0.247833 t=12045
han4 shy2 jang1 shan1 zin4 shu2 cau2 	漢室江山盡屬曹	c=1 d=0.941765 t=12045
han4 yu3 	漢語	c=3 d=0.092089 t=12045
han4 yu3 pin1 yin1 	漢語拼音	c=5 d=1 t=12045
han4 zy4 	漢字	c=3 d=0.0928804 t=12045
hang2 	行	c=1 d=0.0904837 t=12045
hang2 zhou1 	杭州	c=1 d=0.0372538 t=12045
hau2 geo3 	豪哥	c=4 d=0.318663 t=12045
hau3 	好	c=16 d=2.20515 t=12045
hau3 ba1 	好吧	c=1 d=0.0288686 t=12045
hau3 ban4 fa1 	好辦法	c=1 d=0.470011 t=12045
hau3 bu1 	好不	c=1 d=0.00302755 t=12045
hau3 bu1 hau3 	好不好	c=1 d=0.304221 t=12045
hau3 chu3 	好處	c=3 d=0.362993 t=12045
hau3 di1 	好的	c=1 d=0.367879 t=12045
hau3 dian3 	好點	c=1 d=0.960789 t=12045
hau3 hau3 	好好	c=3 d=0.941678 t=12045
hau3 hau3 ting1 kuo4 	好好聽課	c=1 d=0.882497 t=12045
hau3 hau3 xuo2 si2 	好好學習	c=1 d=0.174645 t=12045
hau3 ji1 	好幾	c=0 d=0.0904837 t=12045
hau3 ji1 geo4 	好幾個	c=2 d=0.141984 t=12045
hau3 ji1 hang2 	好幾行	c=1 d=0.909373 t=12045
hau3 le1 	好的	c=3 d=1.50846 t=12045
hau3 siang4 	好像	c=8 d=1.71281 t=12045
hau3 siang4 shy4 	好象是	c=-1 d=0 t=12045
hau3 wan2 	好玩	c=1 d=0.13068 t=12045
hau3 yung4 	好用	c=1 d=0.0372538 t=12045
hau4 siang4 shy4 	好像是	c=1 d=0.182684 t=12045
he1 ti3 	黑體	c=0 d=0.00320647 t=12045
he2 chun2 	核醇	c=1 d=0.941765 t=12045
he2 gan1 	核苷	c=0 d=0.0873716 t=12045
he2 gan1 suan1 	核苷酸	c=4 d=0.241362 t=12045
he2 gan1 suan1 lian2 	核苷酸鏈	c=1 d=0.140858 t=12045
he2 huang2 su4 	核黃素	c=1 d=0.97531 t=12045
he2 mei2 	核酶	c=1 d=0.355226 t=12045
he2 siau3 	核小	c=1 d=0.331211 t=12045
he2 siau3 ti3 	核小體	c=1 d=0.337902 t=12045
he2 sin1 	核心	c=0 d=0.0453774 t=12045
he2 sin1 mei2 	核心酶	c=1 d=0.151829 t=12045
he2 sin1 siu4 lie1 	核心序列	c=1 d=0.304221 t=12045
he2 suan1 wai4 cie1 mei2 	核酸外切酶	c=1 d=0.280832 t=12045
he2 tang2 he2 gan1 	核糖核苷	c=1 d=0.400517 t=12045
hen3 	很	c=11 d=1.37718 t=12045
hen3 da4 	很大	c=3 d=0.947195 t=12045
hen3 di1 	很低	c=2 d=0.752014 t=12045
hen3 duo1 	很多	c=1 d=0.133989 t=12045
hen3 hau3 	很好	c=1 d=0.0165727 t=12045
hen3 luan4 	很亂	c=1 d=0.162026 t=12045
hen3 siang4 	很像	c=2 d=1.57281 t=12045
hen3 you3 	很有	c=1 d=0.0257325 t=12045
heng2 ding4 	恆定	c=1 d=0.897027 t=12045
heng2 ding4 qu1 	恆定區	c=2 d=1.51228 t=12045
heo1 	喝	c=0 d=0.0185444 t=12045
heo1 bu1 wan2 	喝不完	c=1 d=0.186374 t=12045
heo1 ziou3 	喝酒	c=1 d=0.909373 t=12045
heo2 	盒	c=4 d=1.10965 t=12045
heo2 cheng2 	合成	c=20 d=2.94997 t=12045
heo2 cheng2 liu1 	合成率	c=1 d=0.04573 t=12045
heo2 kou3 hu1 	合口呼	c=1 d=0.20089 t=12045
heo2 mei2 	褐煤	c=0 d=0.0125556 t=12045
heo2 qi2 li1 shuo1 dau4 cy3 zhung1 	何期曆數到此終	c=1 d=0.918512 t=12045
heo2 shy1 	合適	c=1 d=0.412714 t=12045
heo2 yi3 	何以	c=0 d=0.0932394 t=12045
heo2 yuan2 	荷園	c=1 d=0.546074 t=12045
heo2 zin4 wu2 mu2 zhung1 gui4 luan4 	何進無謀中貴亂	c=1 d=0.790571 t=12045
heo2 zuo1 	合作	c=1 d=0.416862 t=12045
hou2 suan4 	猴蒜	c=-1 d=0 t=12045
hou4 	後	c=13 d=2.00062 t=12045
hou4 bian1 	後邊	c=1 d=0.0518189 t=12045
hou4 dai4 	後代	c=1 d=0.062662 t=12045
hou4 du4 	厚度	c=4 d=0.0264785 t=12045
hou4 gung1 	後宮	c=1 d=0.209088 t=12045
hou4 lai2 	後來	c=8 d=3.07238 t=12045
hou4 lian3 pi2 	厚臉皮	c=1 d=0.00522135 t=12045
hou4 mian4 	後面	c=1 d=0.918512 t=12045
hou4 qi2 	後期	c=1 d=0.0439369 t=12045
hou4 rhen2 ping2 diau4 kung1 lau2 sau1 	後人憑弔空牢騷	c=1 d=0.99005 t=12045
hou4 siuan3 	候選	c=1 d=0.0241131 t=12045
hou4 sui2 lian2 	後隨鏈	c=2 d=0.155119 t=12045
hou4 tou2 	後頭	c=0 d=0.0159614 t=12045
hou4 wui4 	後衛	c=1 d=0.66034 t=12045
hou4 yi1 geo4 	後一個	c=1 d=0.119433 t=12045
hou4 yi1 zu3 	後一組	c=2 d=0.582441 t=12045
hou4 yuan4 	後院	c=1 d=0.207008 t=12045
hou4 zhe2 	後者	c=1 d=0.726149 t=12045
hou4 zheo3 	後者	c=1 d=1.19783e-06 t=12045
hou4 zhuo2 	厚着	c=1 d=0.923116 t=12045
hu1 liuo1 	忽略	c=1 d=0.970446 t=12045
hu1 xi1 dau4 	呼吸道	c=1 d=0.453845 t=12045
hu3 bu3 	互補	c=6 d=0.925549 t=12045
hu3 bu3 pei4 dui4 	互補配對	c=1 d=0.847894 t=12045
hu3 bu3 siu4 lie1 	互補序列	c=1 d=0.67368 t=12045
hua1 cy4 	花刺	c=-1 d=0 t=12045
hua1 liau3 	花了	c=1 d=0.860708 t=12045
