# Rime user dictionary
#@/db_name	cangjie5.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	4914
#@/user_id	stella
a 	日	c=23 d=1.919 t=4914
jrjvd 	寤寐	c=1 d=0.0175975 t=4914
jrok 	故	c=9 d=2.71596 t=4914
jrr 	宫	c=1 d=0.151072 t=4914
jsjco 	窈窕	c=3 d=0.0562667 t=4914
jtcg 	塞	c=3 d=0.909373 t=4914
jtcy 	寒	c=1 d=0.144424 t=4914
ju 	七	c=9 d=0.99005 t=4914
juhaf 	鵷	c=1 d=0.0675424 t=4914
jv 	安	c=3 d=1.41691 t=4914
jvjji 	輾轉	c=1 d=0.0182243 t=4914
jvmd 	寐	c=2 d=0.718163 t=4914
jvmr 	寤	c=1 d=0.0169075 t=4914
jwj 	車	c=13 d=2.91919 t=4914
jwjc 	實	c=8 d=0.496826 t=4914
jyk 	实	c=1 d=0.767206 t=4914
k 	大	c=12 d=1.96215 t=4914
kb 	有	c=43 d=5.08645 t=4914
kd 	东	c=2 d=1.96042 t=4914
kdhne 	殺	c=1 d=0.201897 t=4914
ke 	友	c=1 d=0.0196437 t=4914
kf 	大小	c=1 d=0.970446 t=4914
kgdi 	痔	c=2 d=0.233873 t=4914
khhvo 	狐	c=1 d=0.0699482 t=4914
khjdi 	狩	c=1 d=0.10435 t=4914
khkmr 	猗	c=3 d=0.322469 t=4914
khtcw 	猶	c=1 d=0.494109 t=4914
khvvv 	獵	c=1 d=0.105399 t=4914
kijb 	痡	c=1 d=0.0298969 t=4914
kip 	态	c=1 d=0.298197 t=4914
kjka 	奢	c=1 d=0.0291588 t=4914
kkb 	大有	c=1 d=1 t=4860
kkb 	肴	c=1 d=1 t=4861
kkkk 	爽	c=1 d=0.603506 t=4914
kl 	大中	c=-2 d=1 t=4914
klb 	布	c=3 d=1.20794 t=4914
klg 	在	c=38 d=6.06634 t=4914
klj 	人大中華	c=-1 d=0 t=4914
klmy 	痱	c=1 d=0.0359725 t=4914
klwu 	奄	c=2 d=1.07058 t=4914
kmkr 	左右	c=3 d=0.055429 t=4914
kmob 	病	c=1 d=0.10383 t=4914
kn 	九	c=6 d=0.600684 t=4914
knhaf 	鳩	c=5 d=0.968522 t=4914
kok 	疾	c=2 d=0.398519 t=4914
kokr 	痴	c=1 d=0.0510474 t=4914
koog 	痤	c=1 d=0.106992 t=4914
kpqis 	态势	c=1 d=0.559898 t=4914
kq 	车	c=1 d=1 t=4914
kqomn 	输	c=1 d=0.965605 t=4914
kr 	右	c=1 d=0.472367 t=4914
krnvm 	驾	c=1 d=0.99005 t=4914
krsqf 	駕	c=4 d=1.11801 t=4914
ks 	力	c=2 d=0.704114 t=4914
ksmh 	瘳	c=1 d=0.0824965 t=4914
ksr 	加	c=5 d=0.88692 t=4914
kssr 	大局	c=1 d=0.231078 t=4914
ktqm 	瘥	c=1 d=0.280832 t=4914
kvo 	獵人	c=1 d=0.985112 t=4914
kvug 	癰	c=1 d=0.105928 t=4914
l 	中	c=31 d=2.9787 t=4914
la 	旧	c=1 d=0.798516 t=4914
lapv 	褐	c=1 d=0.0340475 t=4914
lbk 	央	c=1 d=0.351692 t=4914
lbog 	帷	c=1 d=0.588605 t=4914
lbsmv 	帳	c=1 d=1 t=4779
ldhe 	被	c=1 d=0.606531 t=4914
lgam 	晝	c=1 d=0.15259 t=4914
lgr 	袺	c=1 d=0.0492917 t=4914
lgrc 	襭	c=1 d=0.0513033 t=4914
libgr 	蜩	c=1 d=0.0645703 t=4914
lijp 	蛇	c=2 d=1.38349 t=4914
lilii 	蟲	c=1 d=0.182684 t=4914
litob 	蜹	c=1 d=0.287941 t=4914
liyck 	蛟	c=1 d=0.344728 t=4914
liywm 	蟺	c=1 d=0.579842 t=4914
ljyid 	阐述	c=2 d=1.21799 t=4914
llbk 	中央	c=4 d=1.28856 t=4914
lll 	川	c=1 d=1 t=4728
lllc 	順	c=3 d=1.34528 t=4914
lllo 	顺	c=1 d=0.0544757 t=4914
llmb 	师	c=1 d=0.752014 t=4914
lln 	弗	c=5 d=1.84155 t=4914
lm 	丄	c=1 d=0.11475 t=4914
lmnii 	将	c=2 d=1.87311 t=4914
lmp 	北	c=4 d=0.56868 t=4914
lmsy 	非	c=19 d=4.26072 t=4914
lp 	中心	c=2 d=0.0664469 t=4914
lplij 	蟋蟀	c=1 d=0.0898153 t=4914
lpru 	袍	c=1 d=1.45198e-05 t=4914
ls 	冂	c=-1 d=0.955997 t=4914
lsa 	间	c=3 d=1.68007 t=4914
lscwj 	阐	c=2 d=1.47233 t=4914
lsh 	初	c=1 d=1 t=4766
lsmm 	韭	c=1 d=0.188247 t=4914
lssj 	闻	c=1 d=0.677057 t=4914
ltc 	中共	c=1 d=0.465334 t=4914
lvok 	數	c=1 d=0.0742736 t=4914
lw 	由	c=2 d=0.974261 t=4914
lwmi 	中国	c=3 d=1.77827 t=4914
lx 	肅	c=7 d=1.32734 t=4914
lyp 	悲	c=1 d=0.0480747 t=4914
m 	一	c=24 d=4.45442 t=4914
ma 	百	c=13 d=4.61879 t=4914
mand 	厚	c=1 d=0.214381 t=4914
mbamo 	而是	c=1 d=0.826959 t=4914
mbbm 	而且	c=1 d=0.932394 t=4914
mbdbu 	霜	c=2 d=0.307279 t=4914
mbll 	而	c=51 d=7.43539 t=4914
mbmmi 	雲	c=1 d=1 t=4780
mbmwv 	需要	c=1 d=0.965605 t=4914
mbo 	页	c=1 d=0.491644 t=4914
mbphe 	憂	c=6 d=0.779977 t=4914
mbrmr 	露	c=3 d=1.09466 t=4914
mbtjb 	霸	c=1 d=1 t=4847
mcw 	西	c=8 d=4.46652 t=4914
md 	于	c=14 d=2.26139 t=4914
mdm 	五	c=7 d=1.76267 t=4914
mf 	不	c=90 d=6.61951 t=4914
mfamo 	不是	c=1 d=0.386741 t=4914
mfbk 	爾	c=16 d=2.9862 t=4914
mfj 	平	c=6 d=1.55934 t=4914
mg 	王	c=12 d=2.32828 t=4914
mgb 	再	c=1 d=0.918512 t=4914
mgbhu 	现	c=1 d=0.771052 t=4914
mgbou 	瑤	c=1 d=0.0238732 t=4914
mgfbc 	瑣	c=2 d=0.815176 t=4914
mgln 	到	c=5 d=2.60048 t=4914
mgnbe 	瓊	c=3 d=0.0712388 t=4914
mgno 	玖	c=1 d=0.0261214 t=4914
mgoin 	琴	c=1 d=0.0193512 t=4914
mgok 	致	c=2 d=0.429557 t=4914
mgph 	瑟	c=1 d=0.0194482 t=4914
mgsjr 	琚	c=1 d=0.0216013 t=4914
mgwg 	理	c=1 d=0.189191 t=4914
mhaf 	原	c=1 d=0.960789 t=4914
mhli 	一節詩	c=1 d=0.327915 t=4914
mhnl 	邪	c=4 d=1.08929 t=4914
mhog 	雅	c=1 d=0.965605 t=4914
mig 	至	c=10 d=1.75238 t=4914
miks 	动	c=1 d=0.985112 t=4914
mj 	干	c=6 d=0.99214 t=4914
mk 	天	c=24 d=4.07267 t=4914
mkers 	政治局	c=1 d=0.451581 t=4914
mks 	功	c=5 d=1.18119 t=4914
mku 	无	c=2 d=0.387391 t=4914
mlbo 	兩	c=6 d=2.27599 t=4914
mlby 	雨	c=4 d=0.332871 t=4914
mllm 	亞	c=1 d=0.412714 t=4914
mlm 	工	c=1 d=0.299692 t=4914
mlwk 	更	c=2 d=0.406834 t=4914
mm 	二	c=8 d=1.6724 t=4914
mmbc 	項	c=2 d=0.612162 t=4914
mmf 	示	c=1 d=0.88692 t=4914
mmi 	云	c=6 d=0.67686 t=4914
mmm 	三	c=14 d=2.0417 t=4914
mmmrb 	正确	c=2 d=1.48171 t=4914
mmok 	政	c=7 d=1.28724 t=4914
mmp 	惡	c=2 d=1.14296 t=4914
mmr 	吾	c=4 d=0.64336 t=4914
mmu 	元	c=1 d=1 t=4912
mnf 	烈	c=1 d=0.0333733 t=4914
mng 	型	c=1 d=0.856415 t=4914
mnhjd 	殊	c=1 d=1 t=4715
mnir 	一名	c=-1 d=0.0483156 t=4914
mnir 	殆	c=2 d=0.453099 t=4914
mnoim 	殲	c=3 d=2.27962 t=4914
mnp 	死	c=7 d=1.04024 t=4914
mnr 	可	c=16 d=2.67837 t=4914
mohoo 	豵	c=1 d=0.0765355 t=4914
momjj 	豣	c=1 d=0.0773047 t=4914
moob 	两	c=1 d=0.70822 t=4914
moos 	工作	c=1 d=0.355226 t=4914
mpylm 	武	c=1 d=0.0746459 t=4914
mr 	石	c=4 d=0.818956 t=4914
mrbm 	砠	c=1 d=0.0285814 t=4914
mrdhe 	破	c=3 d=0.665299 t=4914
mrmbc 	碩	c=6 d=0.82488 t=4914
mrmt 	研	c=2 d=1.24383 t=4914
mrmtb 	礪	c=1 d=0.173774 t=4914
mrnbq 	确	c=4 d=2.37715 t=4914
mrnvm 	码	c=2 d=1.30769 t=4914
mrvio 	可以	c=3 d=1.91202 t=4914
ms 	万	c=1 d=0.45612 t=4914
mt 	开	c=2 d=1.43551 t=4914
muali 	蠶	c=1 d=0.0518189 t=4914
mulmi 	虺	c=1 d=0.0239928 t=4914
mvdh 	牙	c=1 d=0.506617 t=4914
mvdi 	辱	c=3 d=0.47952 t=4914
mwd 	栗	c=1 d=0.0332068 t=4914
mwhoe 	覆	c=1 d=0.744532 t=4914
mwhui 	醜	c=1 d=0.171187 t=4914
mwice 	酸	c=1 d=0.285076 t=4914
mwpi 	酌	c=2 d=0.0513944 t=4914
mwrmg 	酲	c=1 d=0.551563 t=4914
mwrmg 	面呈	c=1 d=0.548812 t=4914
mwsl 	面	c=1 d=0.494109 t=4914
mwsu 	配	c=1 d=1 t=4710
mwtwt 	醴	c=1 d=1 t=4765
mwv 	要	c=5 d=1.39841 t=4914
mwyit 	醯	c=1 d=0.283654 t=4914
mwyoj 	醉	c=1 d=0.037068 t=4914
my 	下	c=10 d=2.12984 t=4914
mylf 	焉	c=17 d=2.63376 t=4914
mylm 	正	c=6 d=1.29944 t=4914
n 	弓	c=3 d=0.985745 t=4914
napo 	象	c=1 d=0.177284 t=4914
nau 	色	c=2 d=1.99501 t=4733
nbfmu 	觥	c=2 d=0.213082 t=4914
nbo 	负	c=1 d=0.305746 t=4914
nboah 	觴	c=1 d=1 t=4859
nbq 	角	c=1 d=0.895834 t=4914
nc 	小	c=4 d=0.977021 t=4914
nd 	子	c=50 d=6.42018 t=4914
ndu 	孔	c=1 d=0.0605068 t=4914
nem 	亟	c=1 d=0.158817 t=4914
nffdq 	鱗	c=1 d=1 t=4729
ngmwm 	疆	c=2 d=1.08155 t=4914
nhd 	柔	c=2 d=0.20089 t=4914
nhe 	及	c=4 d=0.814647 t=4914
nhs 	乃	c=1 d=0.19398 t=4914
ni 	夕	c=3 d=0.288788 t=4914
ni 	弘	c=1 d=0.0555762 t=4914
nili 	強	c=2 d=0.719943 t=4914
ninh 	矛	c=3 d=0.66365 t=4914
nini 	多	c=5 d=1.21477 t=4914
nio 	強人	c=1 d=0.0972957 t=4914
nir 	名	c=5 d=1.11477 t=4914
niy 	外	c=6 d=1.26367 t=4914
njok 	敢	c=1 d=0.241714 t=4914
nkhyv 	延	c=1 d=0.283654 t=4914
nklq 	建	c=2 d=0.708182 t=4914
nlamh 	陽	c=3 d=0.534063 t=4914
nlavf 	隰	c=1 d=0.865022 t=4914
nlbm 	阻	c=3 d=1.19146 t=4914
nlheq 	降	c=2 d=0.88104 t=4914
nljmu 	院	c=1 d=0.609571 t=4914
nllmc 	隤	c=1 d=0.0241131 t=4914
nlmsu 	阨	c=1 d=0.082085 t=4914
nloii 	陰	c=1 d=0.179066 t=4914
nloll 	阶	c=1 d=0.680451 t=4914
nlomd 	除	c=1 d=1 t=4771
nlos 	阼	c=1 d=1 t=4854
nlppg 	陛	c=1 d=1 t=4781
nlrbc 	隕	c=2 d=0.543351 t=4914
nlwlb 	隅	c=1 d=0.0884781 t=4914
nlyhs 	防	c=3 d=0.960789 t=4914
nlykb 	隨	c=1 d=1 t=4833
nlylh 	陟	c=4 d=0.462675 t=4914
nn 	了	c=17 d=5.6245 t=4914
nnmbo 	预	c=1 d=0.865022 t=4914
no 	久	c=1 d=0.449329 t=4914
nob 	胥	c=1 d=0.951229 t=4914
nohto 	飛	c=2 d=0.822835 t=4914
nomrt 	登	c=7 d=1.56593 t=4914
nonhe 	發	c=1 d=0.0325493 t=4914
nqd 	桀	c=1 d=0.064894 t=4914
nqlmi 	蟹	c=1 d=0.557106 t=4914
nrli 	强	c=4 d=0.445879 t=4914
nsbt 	盈	c=1 d=0.0220377 t=4914
nsmv 	張	c=2 d=0.968543 t=4914
nup 	怨	c=3 d=0.84671 t=4914
nvsm 	马	c=1 d=0.995012 t=4914
nwf 	魚	c=1 d=0.183599 t=4914
o 	人	c=46 d=6.01719 t=4914
oam 	但	c=1 d=0.67368 t=4914
ob 	内	c=1 d=0.571209 t=4914
obcn 	側	c=2 d=0.152396 t=4914
obmc 	俱	c=2 d=0.771052 t=4914
obo 	肉	c=1 d=0.179964 t=4914
obon 	侧	c=1 d=0.198891 t=4914
ocb 	佾	c=1 d=1 t=4846
ocor 	俗	c=1 d=0.249075 t=4914
odm 	体	c=7 d=4.49713 t=4914
oe 	仅	c=1 d=0.895834 t=4914
og 	仕	c=2 d=0.800133 t=4914
ogd 	集	c=3 d=0.675383 t=4914
ogf 	焦	c=1 d=0.748264 t=4914
oh 	入	c=8 d=1.92168 t=4914
ohjr 	佸	c=1 d=0.063609 t=4914
ohvl 	仰	c=1 d=1 t=4803
ohwj 	俾	c=3 d=1.33382 t=4914
oi 	伐	c=2 d=0.090718 t=4914
oiar 	倉	c=3 d=0.99005 t=4914
oiav 	食	c=11 d=1.03157 t=4914
oigit 	饁	c=1 d=0.0380064 t=4914
oihk 	飫	c=1 d=1 t=4865
oihn 	飢	c=1 d=0.0699482 t=4914
oiivk 	会议	c=1 d=0.465334 t=4914
oiku 	优	c=1 d=0.980199 t=4914
oilb 	傭	c=1 d=0.429557 t=4914
oimbc 	領	c=1 d=0.612626 t=4914
oin 	今	c=2 d=0.584697 t=4914
oino 	飲	c=1 d=0.537944 t=4914
oinp 	念	c=2 d=1.16418 t=4914
oiok 	俟	c=2 d=0.344674 t=4914
oionk 	餱	c=1 d=0.895834 t=4914
oip 	代	c=11 d=5.0875 t=4914
oj 	什	c=1 d=0.229925 t=4914
ojkld 	倖存	c=-1 d=0 t=4914
ojkp 	佬	c=-1 d=0 t=4914
ojlk 	使	c=6 d=0.844224 t=4914
ojrk 	做	c=3 d=1.15416 t=4914
ok 	矢	c=6 d=1.01107 t=4914
okcf 	僚	c=1 d=1.95996e-05 t=4914
okmrt 	短	c=1 d=0.0884781 t=4914
okn 	仇	c=1 d=1.54949e-05 t=4914
okp 	悠	c=14 d=1.7223 t=4914
okr 	知	c=13 d=0.831771 t=4914
okvif 	繁	c=1 d=0.980199 t=4914
ol 	个	c=2 d=1.70514 t=4914
ol 	仲	c=2 d=1.35418 t=4914
olhd 	條	c=1 d=0.0523397 t=4914
olhh 	修	c=3 d=4.97721e-05 t=4914
oll 	介	c=2 d=0.285076 t=4914
olnd 	介子	c=-1 d=0.115325 t=4914
om 	丘	c=1 d=0.318224 t=4914
ombp 	愈	c=2 d=0.236501 t=4914
omc 	兵	c=1 d=1.85508e-05 t=4914
omg 	全	c=1 d=0.29523 t=4914
omjr 	舍	c=3 d=1.38319 t=4914
ommi 	会	c=4 d=1.67376 t=4914
omnr 	何	c=20 d=1.04841 t=4914
omr 	合	c=1 d=0.479505 t=4914
omu 	岳	c=1 d=0.162026 t=4914
onhs 	仍	c=2 d=1.2195 t=4914
onmk 	侯	c=1 d=0.163654 t=4914
onoq 	今年	c=1 d=0.71177 t=4914
ooah 	傷	c=2 d=0.0486892 t=4914
oos 	作	c=7 d=2.83425 t=4914
op 	化	c=2 d=0.985112 t=4914
opj 	针	c=1 d=0.362402 t=4914
oppa 	偕	c=2 d=1.49093 t=4914
oq 	年	c=1 d=0.247833 t=4914
ord 	保	c=3 d=0.989368 t=4914
orgrc 	倉頡	c=2 d=1.97516 t=4914
ornin 	舒	c=3 d=6.44735e-05 t=4914
orq 	拿	c=1 d=0.891366 t=4914
orse 	假	c=6 d=1.32165 t=4914
orytu 	知道	c=1 d=0.913931 t=4914
oshi 	仞	c=2 d=0.67032 t=4914
osk 	伊	c=3 d=1.12393 t=4914
osrj 	僻	c=2 d=0.970446 t=4914
osu 	仓	c=1 d=0.97531 t=4914
otc 	供	c=1 d=0.196912 t=4914
otco 	僕	c=1 d=0.0297478 t=4914
otf 	無	c=34 d=5.34069 t=4914
otgi 	儀	c=6 d=1.85558 t=4914
othb 	備	c=1 d=0.371577 t=4914
ouln 	创	c=1 d=0.873716 t=4914
oyck 	佼	c=3 d=6.31969e-05 t=4914
oyhv 	依	c=1 d=1 t=4807
oymr 	信	c=4 d=1.01926 t=4914
oyok 	敏	c=2 d=1.10323 t=4914
oyt 	位	c=3 d=0.83527 t=4914
oyub 	禽	c=1 d=0.236928 t=4914
p 	心	c=16 d=2.92739 t=4914
pawe 	慢	c=1 d=0.189191 t=4914
pbgr 	惆	c=1 d=1 t=4839
pd 	也	c=75 d=10.6924 t=4914
peii 	慅	c=1 d=2.20985e-05 t=4914
pfb 	悄	c=1 d=2.03995e-05 t=4914
pff 	惔	c=1 d=0.239309 t=4914
ph 	必	c=6 d=1.86488 t=4914
phcn 	懰	c=1 d=2.1232e-05 t=4914
phh 	勿	c=2 d=0.3828 t=4914
phpa 	惛	c=2 d=1.33063 t=4914
phqm 	性	c=4 d=1.47562 t=4914
pi 	勾	c=1 d=0.2334 t=4914
piih 	慘	c=1 d=2.3939e-05 t=4914
pjbc 	慎	c=1 d=0.311923 t=4914
pjhaf 	鴇	c=3 d=0.668663 t=4914
pjr 	怙	c=1 d=0.209088 t=4914
pmam 	恒	c=1 d=0.264477 t=4914
pmbc 	頃	c=1 d=0.0221482 t=4914
pmbe 	懮	c=1 d=2.15529e-05 t=4914
pmmr 	悟	c=1 d=0.0898153 t=4914
pmua 	憯	c=1 d=0.29523 t=4914
pmwd 	慄	c=3 d=2.22333 t=4914
po 	长	c=2 d=0.750063 t=4914
pomr 	恰	c=1 d=0.909373 t=4914
pr 	句	c=1 d=1 t=4914
psmv 	悵	c=1 d=1 t=4840
puhaf 	鶵	c=1 d=0.0678809 t=4914
pumb 	惴	c=6 d=4.39146 t=4914
pumbc 	頓	c=1 d=0.316637 t=4914
pwlj 	懌	c=2 d=0.683465 t=4914
pyaj 	悼	c=1 d=0.806541 t=4914
pywv 	懷	c=2 d=0.0480721 t=4914
qamh 	揚	c=2 d=1.03494 t=4914
qamo 	提	c=2 d=1.99501 t=4914
qau 	把	c=2 d=0.923116 t=4914
qbbe 	授	c=2 d=0.0723497 t=4914
qbbsd 	靜	c=4 d=1.04443 t=4914
qbdi 	捋	c=1 d=0.0473589 t=4914
qbnsd 	静	c=3 d=0.985112 t=4914
qbou 	搖	c=2 d=0.0602441 t=4914
qdrlr 	耜	c=1 d=0.0356146 t=4914
qeee 	掇	c=1 d=0.0450492 t=4914
qeii 	搔	c=1 d=0.090718 t=4914
qeq 	择	c=1 d=0.918512 t=4914
qgdi 	持	c=5 d=1.12968 t=4914
qhd 	栔	c=1 d=0.467666 t=4914
qhdw 	播	c=1 d=0.164474 t=4914
qhjr 	括	c=1 d=0.0675424 t=4914
qhml 	折	c=3 d=0.576692 t=4914
qhne 	投	c=3 d=0.0684455 t=4914
qhxe 	搜	c=1 d=0.064894 t=4914
qiks 	势	c=1 d=0.299692 t=4914
qje 	技	c=2 d=0.86381 t=4914
qjnl 	邦	c=1 d=0.818731 t=4914
qka 	春	c=5 d=1.13158 t=4914
qkhd 	秦	c=2 d=0.174363 t=4914
qklmi 	螯	c=1 d=0.571209 t=4914
qlmy 	排	c=1 d=0.481909 t=4914
qlymr 	誓	c=1 d=0.932394 t=4914
qmb 	青	c=3 d=0.717858 t=4914
qmbo 	责	c=1 d=0.307279 t=4914
qmmv 	振	c=1 d=0.0824965 t=4914
qmv 	表	c=1 d=0.321422 t=4914
qmvif 	素	c=1 d=0.113042 t=4914
qnkg 	挺	c=1 d=0.160414 t=4914
qo 	夫	c=8 d=2.12987 t=4914
qobuu 	規	c=1 d=0.154896 t=4914
qotf 	撫	c=1 d=1 t=4899
qouu 	提出	c=1 d=0.357007 t=4914
qpa 	指	c=2 d=0.890688 t=4914
qpru 	抱	c=1 d=0.289384 t=4914
qqo 	扶	c=2 d=0.737123 t=4914
qshr 	招	c=3 d=0.378059 t=4914
qsmg 	握	c=2 d=0.927743 t=4914
quan 	把門	c=1 d=0.509156 t=4914
quog 	摧	c=1 d=0.0776922 t=4914
quqsg 	把握	c=5 d=4.21496 t=4914
qwlj 	擇	c=2 d=0.927743 t=4914
qytv 	接	c=1 d=0.644036 t=4914
qyub 	摛	c=1 d=1 t=4707
r 	口	c=8 d=4.67392 t=4914
rau 	吧	c=2 d=1.0006 t=4914
rbo 	员	c=1 d=0.621885 t=4914
rc 	只	c=3 d=0.419629 t=4914
rgbt 	噎	c=1 d=0.045275 t=4914
rhaf 	鳴	c=6 d=0.235922 t=4914
rhfd 	呼	c=2 d=0.390628 t=4914
rhml 	听	c=1 d=0.278037 t=4914
rhu 	兄	c=1 d=0.752014 t=4914
riog 	雖	c=1 d=0.155673 t=4914
rj 	叶	c=1 d=1 t=4703
rmd 	吁	c=1 d=0.0305009 t=4914
rmgni 	躊	c=1 d=0.690734 t=4914
rmher 	路	c=1 d=0.242926 t=4914
rmig 	咥	c=1 d=0.767206 t=4914
rmje 	跂	c=2 d=0.337902 t=4914
rmmmi 	蹰	c=1 d=0.092089 t=4914
rmnmu 	跪	c=1 d=0.562705 t=4914
rmokr 	踟	c=1 d=0.0916297 t=4914
rmpmc 	蹞	c=1 d=0.380983 t=4914
rmrrd 	躁	c=1 d=0.612626 t=4914
rmsmg 	躍	c=1 d=0.418952 t=4914
rmylm 	趾	c=1 d=0.037068 t=4914
rmyx 	躋	c=2 d=0.396531 t=4914
rnlr 	啊	c=3 d=2.88728 t=4914
romr 	哈	c=1 d=0.995012 t=4914
ron 	吃	c=1 d=0.980199 t=4914
rppa 	喈	c=2 d=0.14597 t=4914
rrikr 	器	c=2 d=1.25474 t=4914
rsypn 	號	c=1 d=0.188247 t=4914
rtqm 	嗟	c=7 d=0.94312 t=4914
rudi 	导	c=1 d=0.19398 t=4914
rvp 	民	c=9 d=2.28714 t=4914
ryo 	足	c=3 d=0.900112 t=4914
s 	尸	c=1 d=0.860708 t=4914
s ahnr 	尸㫟㲸把門的或曰	c=-1 d=0 t=4914
schne 	殿	c=1 d=1 t=4815
sebuc 	賢	c=1 d=1 t=4881
sehho 	聚	c=2 d=0.744532 t=4914
semcw 	醫	c=1 d=0.104874 t=4914
sflpc 	驥	c=1 d=0.414783 t=4914
sflws 	騁	c=1 d=0.640824 t=4914
sftmc 	騏	c=1 d=0.412714 t=4914
sgjwp 	聽	c=3 d=0.804074 t=4914
sh 	刀	c=1 d=0.501576 t=4914
shhqu 	髦	c=2 d=0.253764 t=4914
shike 	髮	c=2 d=0.529935 t=4914
shlb 	属	c=1 d=0.433874 t=4914
shlbu 	髧	c=2 d=0.249986 t=4914
shov 	屨	c=1 d=0.084163 t=4914
shr 	召	c=3 d=0.506617 t=4914
sibt 	監	c=1 d=0.254107 t=4914
sim 	习	c=6 d=2.17707 t=4914
sj 	耳	c=6 d=1.97064 t=4914
sjb 	臂	c=2 d=0.366045 t=4914
sje 	取	c=11 d=3.71164 t=4914
sjhwp 	聰	c=1 d=0.798516 t=4914
sjjtg 	耳塞	c=1 d=0.913931 t=4914
sjlbu 	耽	c=3 d=1.48026 t=4914
sjr 	居	c=3 d=0.918512 t=4914
sjrc 	职	c=1 d=0.831104 t=4914
sjrhf 	耳鳴	c=1 d=0.774916 t=4914
sjtk 	联	c=2 d=0.579842 t=4914
sjyia 	職	c=1 d=1 t=4724
sk 	尹	c=3 d=0.802447 t=4914
skr 	君	c=24 d=3.3912 t=4914
slmy 	匪	c=8 d=1.7009 t=4914
slorr 	臨	c=6 d=2.17534 t=4914
smbt 	監	c=1 d=1 t=4898
smig 	屋	c=1 d=0.162026 t=4914
smsim 	羽	c=5 d=0.560545 t=4914
smv 	長	c=11 d=2.34725 t=4914
smwtc 	翼	c=1 d=0.222017 t=4914
smyoj 	翠	c=1 d=1 t=4831
sodi 	尺寸	c=1 d=0.937067 t=4914
sqsf 	馬	c=6 d=0.51548 t=4914
srbt 	盬	c=3 d=0.69944 t=4914
srmg 	聖	c=1 d=0.367879 t=4914
srmt 	召开	c=1 d=0.444858 t=4914
srnd 	君子	c=1 d=0.261846 t=4914
srp 	慝	c=1 d=0.142987 t=4914
srtq 	羣	c=1 d=0.239309 t=4914
ssr 	局	c=3 d=0.784109 t=4914
ssuu 	兕	c=2 d=0.212019 t=4914
stv 	展	c=2 d=0.741634 t=4914
su 	己	c=3 d=1.06445 t=4914
su 	已	c=1 d=0.18452 t=4914
sug 	屆	c=1 d=0.465334 t=4914
suok 	改	c=2 d=0.204948 t=4914
t 	廿	c=1 d=0.112478 t=4914
ta 	昔	c=1 d=1 t=4774
taj 	草	c=1 d=0.232236 t=4914
tak 	莫	c=7 d=0.593488 t=4914
taka 	暮	c=1 d=1 t=4871
tanw 	蘭	c=2 d=0.778801 t=4914
tbd 	菜	c=3 d=0.0551526 t=4914
tbln 	前	c=3 d=0.642351 t=4914
tbm 	苴	c=1 d=0.12493 t=4914
tbmo 	蒙	c=2 d=0.50409 t=4914
tc 	业	c=1 d=0.878095 t=4914
tc 	共	c=3 d=1.31739 t=4914
tcb 	期	c=5 d=1.029 t=4914
tcbt 	益	c=2 d=0.0761538 t=4914
tcg 	基	c=1 d=0.860708 t=4914
tchml 	斯	c=6 d=2.5796 t=4914
tcl 	其中	c=1 d=0.386741 t=4914
tcru 	巷	c=1 d=0.0824965 t=4914
tdmq 	葦	c=3 d=0.540641 t=4914
tec 	鑿	c=1 d=0.170333 t=4914
tefh 	莎	c=1 d=0.0816756 t=4914
tehr 	落	c=3 d=0.965982 t=4914
teii 	薄	c=6 d=0.274688 t=4914
tgf 	羔	c=2 d=0.389282 t=4914
tgf 	羙	c=-1 d=0.185444 t=4914
tgii 	藝	c=3 d=0.710011 t=4914
tgivb 	基调	c=1 d=0.222017 t=4914
tgk 	美	c=7 d=0.913278 t=4914
tgnd 	莊子	c=3 d=0.24195 t=4914
tgno 	歡	c=1 d=1 t=4864
thbk 	薁	c=1 d=0.10435 t=4914
thbu 	首	c=2 d=0.8517 t=4914
thon 	荇	c=3 d=0.0548775 t=4914
thqu 	芼	c=1 d=0.0203434 t=4914
tih 	茂	c=2 d=0.65533 t=4914
timo 	茨	c=4 d=0.677319 t=4914
tixf 	薦	c=1 d=0.279431 t=4914
tjka 	著	c=1 d=0.767206 t=4914
tjks 	勒	c=1 d=0.23457 t=4914
tjlv 	萋	c=2 d=0.715803 t=4914
tjpfd 	鞠	c=1 d=0.436049 t=4914
tjtc 	蕡	c=1 d=0.0347353 t=4914
tk 	关	c=4 d=1.45409 t=4914
tkhvf 	关系	c=3 d=1.44298 t=4914
tkmd 	关于	c=1 d=0.467666 t=4914
tkn 	艽	c=1 d=0.101774 t=4914
tkn 	荑	c=1 d=0.102284 t=4914
tknl 	鄭	c=1 d=0.524663 t=4914
tkr 	若	c=5 d=0.891159 t=4914
tlbk 	英	c=1 d=1 t=4708
tlit 	蓝	c=1 d=0.810584 t=4914
tlj 	革	c=1 d=0.205975 t=4914
tlwc 	黄	c=6 d=1.1445 t=4914
tmf 	芣	c=7 d=0.31171 t=4914
tmlc 	黃	c=6 d=2.40932 t=4914
tmmc 	其	c=53 d=8.67449 t=4914
tmtj 	華	c=2 d=0.837164 t=4914
tmvm 	莖	c=4 d=1.31199 t=4914
